ID	ALB	ARM	AUS	AUT	AZE	BEL	BGD	BGR	BHR	BLR	BRA	CAN	CHE	CHN	CZE	DEU	DOM	ECU	EGY	ESP	ETH	FRA	GBR	GEO	GRC	GTM	HRV	HUN	IDN	IND	IRN	IRQ	ITA	JOR	JPN	KAZ	KEN	KGZ	KOR	LBN	LKA	LVA	MDG	MEX	MKD	MOZ	MYS	NER	NGA	NLD	NPL	PAK	PER	PHL	POL	PRK	PRT	RUS	SDN	SLV	SRB	SWE	SYR	THA	TJK	TUR	TWN	TZA	UGA	UKR	USA	UZB	VEN	VNM	ZAF
SVK	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SVN	-	-	-	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SWE	-	-	-	-	-	-	-	280	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	342	-	-	-	-	-	-	-	-	-	-	-	-	-	-	277	-	-	-	-	-	314	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TGO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
THA	-	-	-	-	-	-	-	-	-	-	-	-	-	389	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TJK	-	-	-	-	-	-	-	-	-	-	-	-	-	556	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	912	-	434	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43770	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TUR	-	-	-	11	-	20	-	3131	-	-	-	-	-	-	-	150	-	-	-	93	-	-	-	-	-	-	263	-	-	-	-	-	27	-	-	43569	-	-	-	-	-	-	-	-	94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TZA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	578	36	-	-	-	-	-	-	-	-	-	-	-	-	43678	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UGA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	149	-	-	-	-	27	-	-	-	-	-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UKR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UZB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43620	-	-	-	-	-	532	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60	-	-	-	-	-	-	640	-	-	-	-	-	-	-	-	-	-
VEN	-	-	-	-	-	-	-	-	-	-	-	-	-	1136	-	-	-	-	-	34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2688	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	39	-	-	-	-
